,day,drop,file_name,fps,frames,height,plate,tracked,width
414,21,,pl70_day21.mov,7.987,986,576,70,No,784
415,21,,pl71_day21.mov,7.987,994,576,71,No,784
416,21,,pl72_day21.mov,7.987,987,576,72,No,784
417,21,,pl73_day21.mov,7.987,987,576,73,No,784
418,21,,pl74_day21.mov,7.987,1002,576,74,No,784
419,21,,plt10_day21.mov,7.987,1011,576,10,No,784
420,21,,plt11_day21.mov,7.987,1086,576,11,No,784
421,21,,plt12_day21.mov,7.987,1002,576,12,No,784
422,21,,plt13_day21.mov,7.987,1013,576,13,No,784
423,21,,plt14_day21.mov,7.987,1003,576,14,No,784
424,21,,plt15_day21.mov,7.987,1211,576,15,No,784
425,21,,plt16_day21.mov,7.987,1003,576,16,No,784
426,21,,plt17_day21.mov,7.987,1022,576,17,No,784
427,21,,plt18_day21.mov,7.987,1008,576,18,No,784
428,21,,plt19_day21.mov,7.987,1020,576,19,No,784
429,21,,plt1_day21.mov,7.987,1011,576,01,No,784
430,21,,plt20_day21.mov,7.987,1005,576,20,No,784
431,21,,plt21_day21.mov,7.987,1001,576,21,No,784
432,21,,plt22_day21.mov,7.987,1042,576,22,No,784
433,21,,plt23_day21.mov,7.987,995,576,23,No,784
434,21,,plt24_day21.mov,7.987,1007,576,24,No,784
435,21,,plt25_day21.mov,7.987,1003,576,25,No,784
436,21,,plt2_day21.mov,7.987,985,576,02,No,784
437,21,,plt3_day21.mov,7.987,1002,576,03,No,784
438,21,,plt4_day21.mov,7.987,1019,576,04,No,784
439,21,,plt5_day21.mov,7.987,1011,576,05,No,784
440,21,,plt6_day21.mov,7.987,1027,576,06,No,784
441,21,,plt7_day21.mov,7.987,1002,576,07,No,784
442,21,,plt8_day21.mov,7.987,1003,576,08,No,784
443,21,,plt9_day21.mov,7.987,1021,576,09,No,784
444,5,,pl10_day5.mov,7.987,1027,576,10,No,784
445,5,,pl11_day5.mov,7.987,1006,576,11,No,784
446,5,,pl12_day5.mov,7.987,1003,576,12,No,784
447,5,,pl13_day5.mov,7.987,988,576,13,No,784
448,5,,pl14_day5.mov,7.987,1015,576,14,No,784
449,5,,pl15_day5.mov,7.987,1001,576,15,No,784
450,5,,pl16_day5.mov,7.987,999,576,16,No,784
451,5,,pl17_day5.mov,7.987,1004,576,17,No,784
452,5,,pl18_day5.mov,7.987,1006,576,18,No,784
453,5,,pl19_day5.mov,7.987,1009,576,19,No,784
454,5,,pl1_day5.mov,7.987,1001,576,01,No,784
455,5,,pl20_day5.mov,7.987,1002,576,20,No,784
456,5,,pl21_day5.mov,7.987,996,576,21,No,784
457,5,,pl22_day5.mov,7.987,1074,576,22,No,784
458,5,,pl23_day5.mov,7.987,1012,576,23,No,784
459,5,,pl24_day5.mov,7.987,997,576,24,No,784
460,5,,pl25_day5.mov,7.987,986,576,25,No,784
461,5,,pl26_day5.mov,7.987,1023,576,26,No,784
462,5,,pl27_day5.mov,7.987,996,576,27,No,784
463,5,,pl28_day5.mov,7.987,987,576,28,No,784
464,5,,pl29_day5.mov,7.987,994,576,29,No,784
465,5,,pl2_day5.mov,7.987,1004,576,02,No,784
466,5,,pl30_day5.mov,7.987,1050,576,30,No,784
467,5,,pl31_day5.mov,7.987,986,576,31,No,784
468,5,,pl32_day5.mov,7.987,1059,576,32,No,784
469,5,,pl33_day5.mov,7.987,983,576,33,No,784
470,5,,pl34_day5.mov,7.987,977,576,34,No,784
471,5,,pl35_day5.mov,7.987,1003,576,35,No,784
